[2026-08-05T17:57:10.223Z] GET http://127.0.0.1:8000/Case.dc.html?slug=wedding → 200 (4ms, 15891B)
[2026-08-05T17:57:10.231Z] GET http://127.0.0.1:8000/support.js → 200 (3ms, 64423B)
[2026-08-05T17:57:10.231Z] GET https://fonts.googleapis.com/css2?family=Noto+Sans+TC:wght@400;500;700;900&family=Space+Grotesk:wght@400;500;600;700&display=swap → 200 (43ms, 485888B)
[2026-08-05T17:57:10.238Z] GET https://unpkg.com/react@18.3.1/umd/react.production.min.js → 200 (38ms, 10751B)
[2026-08-05T17:57:10.238Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.production.min.js → 200 (55ms, 131835B)
[2026-08-05T17:57:10.312Z] GET http://127.0.0.1:8000/Case.dc.html?slug=wedding → 200 (6ms, ?B)
[2026-08-05T17:57:10.331Z] GET http://127.0.0.1:8000/Nav.dc.html → pending (?ms, ?B)
[2026-08-05T17:57:10.331Z] GET http://127.0.0.1:8000/Footer.dc.html → pending (?ms, ?B)
[2026-08-05T17:57:10.331Z] GET http://127.0.0.1:8000/content.js → pending (?ms, ?B)
[2026-08-05T17:57:10.331Z] GET http://127.0.0.1:8000/case-media.js → pending (?ms, ?B)
[2026-08-05T17:57:10.331Z] GET http://127.0.0.1:8000/seo.js → pending (?ms, ?B)
[2026-08-05T17:57:10.332Z] GET http://127.0.0.1:8000/motion-kit.js → pending (?ms, ?B)
[2026-08-05T17:57:10.332Z] GET http://127.0.0.1:8000/cases-engine.js → pending (?ms, ?B)
[2026-08-05T17:57:10.389Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOkMQAewlpbGXhhyYs0QF3kPVyLylzU95vTq1Ltj5xQez1g.115.woff2 → 200 (145ms, 74332B)
[2026-08-05T17:57:10.389Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOkMQAewlpbGXhhyYs0QF3kPVyLylzU95vTq1Ltj5xQez1g.118.woff2 → 200 (219ms, 60296B)
[2026-08-05T17:57:10.391Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9i1OCEK.woff2 → 200 (150ms, 25136B)
[2026-08-05T17:57:10.391Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4Cw.woff2 → 200 (224ms, 22288B)
[2026-08-05T17:57:10.391Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9i1OCEK.woff2 → 200 (150ms, 25136B)
[2026-08-05T17:57:10.391Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOkMQAewlpbGXhhyYs0QF3kPVyLylzU95vTq1Ltj5xQez1g.116.woff2 → 200 (146ms, 71712B)
[2026-08-05T17:57:10.391Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOkMQAewlpbGXhhyYs0QF3kPVyLylzU95vTq1Ltj5xQez1g.119.woff2 → 200 (221ms, 34552B)
[2026-08-05T17:57:10.391Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOkMQAewlpbGXhhyYs0QF3kPVyLylzU95vTq1Ltj5xQez1g.116.woff2 → 200 (146ms, 71712B)
